# No wind (Up to date)
# 1009 data points written for 4 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (39.4 m/s):  "Drogue chute (fruity 24)"
#   Recovery device deployment at high speed (27.2 m/s):  "Main (Rocketman 84)"
#   Open forward airframe (diameter > 0):  "Interstage"
#   Recovery device deployment at high speed (34.1 m/s):  "Main (Fruity 84)"
#
# Time (s);Altitude (m);Vertical velocity (m/s);Vertical acceleration (m/s²)
0;0;0;0
0.01;0;0;0
0.02;0;0;0
0.029;0;0;0
0.032;0;0.061;35.532
0.035;0.001;0.206;41.807
0.039;0.002;0.374;48.083
0.045;0.004;0.634;44.246
0.049;0.008;0.821;41.26
0.052;0.01;0.964;61.127
0.055;0.014;1.198;63.703
0.06;0.02;1.509;67.015
0.067;0.033;2;70.926
0.07;0.039;2.206;72.504
0.074;0.049;2.523;74.285
0.078;0.059;2.799;75.809
0.084;0.076;3.223;77.423
0.088;0.091;3.572;78.728
0.095;0.116;4.099;78.526
0.105;0.161;4.883;78.225
0.115;0.214;5.664;77.924
0.12;0.245;6.076;77.764
0.128;0.296;6.692;77.203
0.138;0.367;7.46;76.495
0.148;0.446;8.226;75.783
0.158;0.532;8.984;75.851
0.168;0.625;9.743;75.919
0.178;0.726;10.502;75.987
0.188;0.835;11.262;76.055
0.198;0.952;12.023;76.122
0.208;1.076;12.785;76.19
0.218;1.207;13.547;76.257
0.228;1.347;14.31;76.325
0.238;1.494;15.074;76.392
0.247;1.632;15.761;76.453
0.257;1.794;16.527;76.563
0.267;1.963;17.293;76.673
0.277;2.14;18.06;76.783
0.287;2.324;18.828;76.893
0.297;2.516;19.598;77.003
0.307;2.716;20.368;77.113
0.317;2.924;21.14;77.223
0.327;3.139;21.913;77.333
0.337;3.362;22.687;77.443
0.347;3.593;23.462;77.553
0.357;3.831;24.238;77.663
0.367;4.077;25.015;77.773
0.377;4.331;25.793;77.883
0.387;4.593;26.573;77.993
0.398;4.89;27.431;78.113
0.408;5.168;28.213;78.212
0.418;5.455;28.996;78.311
0.428;5.748;29.779;78.362
0.443;6.204;30.956;78.51
0.466;6.92;32.725;78.732
0.499;8.07;35.387;79.064
0.549;9.938;39.353;79.556
0.577;11.061;41.564;79.828
0.619;12.86;44.899;80.366
0.669;15.206;48.933;81.012
0.719;17.754;53;81.656
0.769;20.506;57.099;82.3
0.774;20.814;57.541;82.37
